initial_list_status,purpose,int_rate,installment,annual_inc,dti,verification_status,grade,revol_bal,inq_last_12m,delinq_2yrs,home_ownership,log_inc,verified,grdCtoA,not_paid
f,debt_consolidation,25.82,321.56,57900.0,20.31,Source Verified,E,583,2,3,RENT,10.966472663561099,1,0,0
w,debt_consolidation,9.44,314.59,90000.0,11.35,Not Verified,B,16267,3,0,OWN,11.4075649493124,0,1,1
w,debt_consolidation,16.02,973.15,200000.0,11.83,Source Verified,C,23400,1,2,MORTGAGE,12.2060726455302,1,0,1
w,home_improvement,5.32,752.87,180000.0,12.64,Not Verified,A,3975,2,0,MORTGAGE,12.100712129872301,0,1,0
w,debt_consolidation,9.44,320.05,55000.0,33.46,Not Verified,B,8257,3,0,RENT,10.9150884642146,0,1,0
f,debt_consolidation,22.91,1353.2,179467.0,13.97,Source Verified,E,19223,0,0,RENT,12.097746625997901,1,0,1
w,home_improvement,15.05,693.8,110000.0,9.76,Source Verified,C,23429,1,1,MORTGAGE,11.608235644774599,1,0,0
f,home_improvement,9.93,445.47,70200.0,19.31,Not Verified,B,32730,3,0,MORTGAGE,11.159103590013899,0,1,0
w,credit_card,9.93,212.75,46800.0,12.38,Verified,B,6530,0,0,RENT,10.753638481905698,1,1,0
f,debt_consolidation,10.42,324.65,65000.0,20.27,Source Verified,B,15992,2,0,RENT,11.082142548877801,1,1,0
w,debt_consolidation,7.35,124.15,31000.0,11.69,Source Verified,A,1041,1,0,OWN,10.341742483467302,1,1,0
w,debt_consolidation,12.62,837.79,118000.0,18.43,Source Verified,C,14039,6,0,MORTGAGE,11.6784399034478,1,0,1
w,major_purchase,25.82,1326.43,66000.0,8.4,Verified,E,2603,2,0,OWN,11.0974100210086,1,0,1
w,credit_card,10.91,523.14,255000.0,3.43,Not Verified,B,15422,2,0,RENT,12.449018824140598,0,1,0
w,debt_consolidation,30.17,584.25,65000.0,9.12,Source Verified,F,12966,0,0,MORTGAGE,11.082142548877801,1,0,0
w,credit_card,17.09,318.74,78000.0,18.55,Not Verified,D,5954,2,0,RENT,11.2644641056717,0,0,0
w,small_business,9.44,160.03,110000.0,28.1,Verified,B,44255,0,0,RENT,11.608235644774599,1,1,0
w,debt_consolidation,21.45,379.07,29000.0,27.9,Verified,D,3744,13,1,MORTGAGE,10.2750511089686,1,0,1
w,home_improvement,21.45,189.54,70000.0,26.54,Not Verified,D,15775,2,0,MORTGAGE,11.156250521031499,0,0,0
w,debt_consolidation,26.3,451.78,30000.0,32.68,Not Verified,E,824,2,0,MORTGAGE,10.308952660644302,0,0,1
w,debt_consolidation,9.93,636.38,104000.0,10.42,Verified,B,14208,0,0,RENT,11.5521461781235,1,1,0
w,debt_consolidation,11.99,332.1,110000.0,14.84,Not Verified,B,46387,2,0,MORTGAGE,11.608235644774599,0,1,1
w,debt_consolidation,10.42,162.33,62400.0,11.37,Not Verified,B,7620,2,0,RENT,11.0413205543575,0,1,0
w,debt_consolidation,7.97,751.75,60000.0,12.94,Not Verified,A,14654,2,0,RENT,11.002099841204199,0,1,1
f,credit_card,15.05,277.52,230000.0,22.79,Source Verified,C,42920,2,1,MORTGAGE,12.3458345879053,1,0,0
w,debt_consolidation,14.08,513.25,75000.0,32.42,Not Verified,C,27284,8,0,MORTGAGE,11.2252433925184,0,0,1
w,debt_consolidation,21.45,873.83,30000.0,70.2,Not Verified,D,15746,3,0,RENT,10.308952660644302,0,0,1
w,home_improvement,13.59,461.13,200000.0,10.49,Source Verified,C,22170,6,0,MORTGAGE,12.2060726455302,1,0,0
w,debt_consolidation,9.44,246.44,65000.0,9.82,Not Verified,B,8301,4,3,MORTGAGE,11.082142548877801,0,1,0
w,home_improvement,18.06,635.66,120000.0,23.79,Verified,D,19781,5,0,MORTGAGE,11.6952470217642,1,0,0
w,debt_consolidation,16.02,295.41,101000.0,6.15,Not Verified,C,6354,0,0,MORTGAGE,11.5228757958234,0,0,1
w,debt_consolidation,18.06,231.57,47000.0,23.21,Verified,D,6631,3,0,RENT,10.757902880692198,1,0,1
w,small_business,21.45,431.19,37951.0,24.53,Verified,D,1700,6,0,RENT,10.5440511329377,1,0,0
f,debt_consolidation,14.08,1197.58,202000.0,17.85,Source Verified,C,61268,3,0,MORTGAGE,12.2160229763833,1,0,1
w,credit_card,20.0,635.86,44000.0,25.48,Verified,D,6677,0,0,OWN,10.6919449129004,1,0,1
w,debt_consolidation,7.97,250.59,42000.0,29.0,Not Verified,A,20135,2,0,MORTGAGE,10.6454248972655,0,1,0
w,debt_consolidation,17.09,498.02,50000.0,15.43,Source Verified,D,16399,0,0,RENT,10.819778284410301,1,0,1
