,CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC,DTS
0,8.625,0.567,41.4699,0.8411,13.2325,5.0425,2.351,128.0737,319.0654
1,8.625,0.567,42.5053,0.8411,13.2325,5.0425,2.351,127.8347,318.7825
2,8.625,0.567,43.1548,0.8411,13.2325,5.0425,2.351,127.2307,317.3323
3,8.625,0.567,43.241,0.8411,13.2325,5.0425,2.351,126.2917,313.6486
4,8.625,0.567,40.3218,0.8411,13.2325,5.0425,2.351,125.3985,307.8903
5,8.625,0.567,38.0869,0.8411,13.2325,5.0425,2.351,125.023,302.3839
6,8.625,0.567,39.5775,0.8411,13.2325,5.0425,2.351,125.3598,300.0564
7,8.625,0.567,42.6044,0.8411,13.2325,5.0425,2.351,126.4129,302.1025
8,8.625,0.567,42.1779,0.8411,13.2325,5.0425,2.351,127.9622,308.5552
9,8.625,0.567,40.2553,0.8411,13.2325,5.0425,2.351,129.5826,318.0407
10,8.625,0.567,39.975,0.8411,13.2325,5.0425,2.351,130.898,327.925
11,8.625,0.567,38.2864,0.8411,13.2325,5.0425,2.351,131.7036,335.9414
12,8.625,0.567,37.4536,0.8411,13.2325,5.0425,2.351,132.3922,340.8291
13,8.625,0.567,38.3009,0.8411,13.2325,5.0425,2.351,133.5848,344.98
14,8.625,0.567,37.8108,0.8411,13.2325,5.0425,2.351,135.4301,352.1544
15,8.625,0.567,36.6444,0.8411,13.2325,5.0425,2.351,136.8495,363.2526
16,8.625,0.567,37.7858,0.8411,13.2325,5.0425,2.351,136.1053,371.8271
17,8.625,0.567,36.7689,0.8411,13.2325,5.0425,2.351,132.816,367.3786
18,8.625,0.567,37.0389,0.8411,13.2325,5.0425,2.351,128.6244,347.5287
19,8.625,0.567,37.4309,0.8411,13.2325,5.0425,2.351,125.8387,322.124
20,8.7533,0.567,36.6943,0.8411,13.2325,5.0425,2.351,124.8427,305.1015
21,8.7533,0.567,36.9579,0.8411,13.2325,5.0425,2.351,125.1078,298.9542
22,8.7543,0.567,37.8229,0.8411,13.2325,5.0425,2.351,126.0392,300.5604
23,8.7452,0.567,39.0253,0.8411,13.2325,5.0425,2.351,127.064,306.2839
24,8.7534,0.567,36.954,0.8411,13.2325,5.0425,2.351,127.6953,312.5766
25,8.7494,0.567,35.6069,0.8411,13.2325,5.0425,2.351,127.9607,316.454
26,8.7442,0.567,36.1446,0.8411,13.2325,5.0425,2.351,128.0683,318.0822
27,8.7411,0.567,35.5882,0.8411,13.2325,5.0425,2.351,128.3505,318.7347
28,8.7583,0.567,34.2434,0.8411,13.2325,5.0425,2.351,129.0144,320.4434
29,8.7552,0.567,33.1134,0.8411,13.2325,5.0425,2.351,130.1051,324.4716
30,8.7361,0.567,35.1556,0.8411,13.2325,5.0425,2.351,131.3041,331.105
31,8.7413,0.567,36.004,0.8411,13.2325,5.0425,2.351,131.9817,338.4105
32,8.7494,0.567,37.2629,0.8411,13.2325,5.0425,2.351,131.7243,342.5416
33,8.7554,0.567,38.2432,0.8411,13.2325,5.0425,2.351,130.5381,341.0037
34,8.7533,0.567,37.7215,0.8411,13.2325,5.0425,2.351,128.9389,333.8125
35,8.7533,0.567,37.9902,0.8411,13.2325,5.0425,2.351,127.74,324.0698
36,8.7573,0.567,37.7324,0.8411,13.2325,5.0425,2.351,127.518,316.7288
37,8.7543,0.567,39.9991,0.8411,13.2325,5.0425,2.351,128.5259,315.3399
38,8.7583,0.567,38.9178,0.8411,13.2325,5.0425,2.351,130.4949,321.4478
39,8.7543,0.567,36.8739,0.8411,13.2325,5.0425,2.351,132.7789,333.4142
40,8.7552,0.567,36.7338,0.8411,13.2325,5.0425,2.351,134.2583,347.2946
41,8.7593,0.567,37.2939,0.8411,13.2325,5.0425,2.351,134.1458,356.2713
42,8.7543,0.567,38.2491,0.8411,13.2325,5.0425,2.351,132.9382,355.623
43,8.7564,0.567,39.1807,0.8411,13.2325,5.0425,2.351,131.756,348.337
44,8.7573,0.567,38.2588,0.8411,13.2325,5.0425,2.351,131.3512,341.1744
45,8.7523,0.567,34.8653,0.8411,13.2325,5.0425,2.351,131.7311,338.7057
46,8.7442,0.567,32.7116,0.8411,13.2325,5.0425,2.351,132.3254,341.0
47,8.7583,0.567,34.1201,0.8411,13.2325,5.0425,2.351,132.6197,344.6035
48,8.7452,0.567,37.1183,0.8411,13.2325,5.0425,2.351,132.381,346.3959
49,8.7513,0.567,35.855,0.8411,13.2325,5.0425,2.351,131.6162,344.9669
50,8.7494,0.567,34.703,0.8411,13.2325,5.0425,2.351,130.5543,340.3466
51,8.7483,0.567,34.9373,0.8411,13.2325,5.0425,2.351,129.5335,333.904
52,8.7593,0.567,35.1361,0.8411,13.2325,5.0425,2.351,128.8375,327.6918
53,8.7552,0.567,36.1929,0.8411,13.2325,5.0425,2.351,128.525,323.4437
54,8.7593,0.567,35.8913,0.8411,13.2325,5.0425,2.351,128.587,321.5275
55,8.7634,0.567,33.1849,0.8411,13.2325,5.0425,2.351,128.9913,321.8947
56,8.7705,0.567,34.2152,0.8411,13.2325,5.0425,2.351,129.6107,324.3515
57,8.7513,0.567,36.6172,0.8411,13.2325,5.0425,2.351,130.0779,328.1307
58,8.7534,0.567,35.1749,0.8411,13.2325,5.0425,2.351,130.1844,330.9874
59,8.7563,0.567,35.3492,0.8411,13.2325,5.0425,2.351,130.3134,331.6328
60,8.7471,0.567,36.3447,0.8411,13.2325,5.0425,2.351,130.5304,332.4142
61,8.7442,0.567,36.639,0.8411,13.2325,5.0425,2.351,130.4664,333.7404
62,8.7513,0.567,34.8147,0.8411,13.2325,5.0425,2.351,129.8103,333.3627
63,8.7583,0.567,35.2703,0.8411,13.2325,5.0425,2.351,128.4752,329.386
64,8.7492,0.567,33.6757,0.8411,13.2325,5.0425,2.351,126.9655,321.2637
65,8.7573,0.567,33.13,0.8411,13.2325,5.0425,2.351,125.9732,312.0253
66,8.7593,0.567,37.7244,0.8411,13.2325,5.0425,2.351,126.0692,305.9078
67,8.7552,0.567,36.0789,0.8411,13.2325,5.0425,2.351,127.3499,306.4556
68,8.7462,0.567,35.142,0.8411,13.2325,5.0425,2.351,129.3781,314.2662
69,8.7544,0.567,37.1456,0.8411,13.2325,5.0425,2.351,131.3576,326.6465
70,8.7513,0.567,37.6982,0.8411,13.2325,5.0425,2.351,132.5982,338.7051
71,8.7593,0.567,36.6768,0.8411,13.2325,5.0425,2.351,132.5239,346.2567
72,8.7554,0.567,34.4213,0.8411,13.2325,5.0425,2.351,130.9741,345.843
73,8.7484,0.567,32.9957,0.8411,13.2325,5.0425,2.351,128.6861,336.4784
74,8.7523,0.567,34.341,0.8411,13.2325,5.0425,2.351,126.3801,322.5644
75,8.7502,0.567,32.7075,0.8411,13.2325,5.0425,2.351,124.6427,308.4355
76,8.7612,0.567,29.3016,0.8411,13.2325,5.0425,2.351,124.1676,297.7218
77,8.7624,0.567,27.9689,0.8411,13.2325,5.0425,2.351,125.059,294.7639
78,8.7432,0.567,30.328,0.8411,13.2325,5.0425,2.351,126.3027,300.2397
79,8.7432,0.567,33.7148,0.8411,13.2325,5.0425,2.351,126.9904,307.9059
80,8.7484,0.567,33.9392,0.8411,13.2325,5.0425,2.351,127.2018,312.1414
81,8.7473,0.567,33.8331,0.8411,13.2325,5.0425,2.351,127.7467,313.4221
82,8.7361,0.567,36.8398,0.8411,13.2325,5.0425,2.351,128.8884,316.727
83,8.7463,0.567,37.373,0.8411,13.2325,5.0425,2.351,130.0336,323.6934
84,8.7523,0.567,37.0634,0.8411,13.2325,5.0425,2.351,130.6199,330.6851
85,8.7502,0.567,39.7809,0.8411,13.2325,5.0425,2.351,130.0229,334.2863
86,8.7411,0.567,38.3214,0.8411,13.2325,5.0425,2.351,129.1223,330.672
87,8.7593,0.567,35.5799,0.8411,13.2325,5.0425,2.351,128.399,325.189
88,8.7562,0.567,35.2684,0.8411,13.2325,5.0425,2.351,127.9225,320.7711
89,8.7552,0.567,33.4671,0.8411,13.2325,5.0425,2.351,127.6467,317.8561
90,8.7513,0.567,36.3167,0.8411,13.2325,5.0425,2.351,127.6307,316.1649
91,8.7513,0.567,37.2278,0.8411,13.2325,5.0425,2.351,127.8455,316.0609
92,8.7431,0.567,33.0906,0.8411,13.2325,5.0425,2.351,128.1197,317.3723
93,8.7483,0.567,33.7293,0.8411,13.2325,5.0425,2.351,128.1293,319.0559
94,8.7413,0.567,35.4872,0.8411,13.2325,5.0425,2.351,127.6887,319.1266
95,8.7494,0.567,36.9381,0.8411,13.2325,5.0425,2.351,126.95,316.4401
96,8.7392,0.567,36.6242,0.8411,13.2325,5.0425,2.351,126.5283,311.9081
97,8.7461,0.567,34.9785,0.8411,13.2325,5.0425,2.351,127.1318,309.2976
98,8.7341,0.567,32.8131,0.8411,13.2325,5.0425,2.351,128.5777,312.9639
99,8.7353,0.567,32.4273,0.8411,13.2325,5.0425,2.351,129.804,321.7897
100,8.7524,0.567,32.5696,0.8411,13.2325,5.0425,2.351,129.9711,329.3017
101,8.7392,0.567,32.2819,0.8411,13.2325,5.0425,2.351,129.0924,330.3599
102,8.7593,0.567,32.617,0.8411,13.2325,5.0425,2.351,127.5868,325.0142
103,8.7482,0.567,33.9658,0.8411,13.2325,5.0425,2.351,126.0402,315.8153
104,8.7544,0.567,37.0837,0.8411,13.2325,5.0425,2.351,124.8885,306.3448
105,8.7483,0.567,36.7017,0.8411,13.2325,5.0425,2.351,124.2129,299.2606
106,8.7533,0.567,36.2925,0.8411,13.2325,5.0425,2.351,123.8624,295.0922
